"WM.Open","WM.High","WM.Low","WM.Close","WM.Volume","WM.WAP","WM.hasGaps","WM.Count","index","Orders","Position","holdingGrossReturn","X50PeriodSMA","upperBband2SD50PeriodsSMA","lowerBband2SD50PeriodsSMA","upperBband1SD50PeriodsSMA","lowerBband1SD50PeriodsSMA","X20PeriodSMA","upperBband2SD20PeriodsSMA","lowerBband2SD20PeriodsSMA","upperBband1SD20PeriodsSMA","lowerBband1SD20PeriodsSMA","X10PeriodSMA","upperBband2SD10PeriodsSMA","lowerBband2SD10PeriodsSMA","upperBband1SD10PeriodsSMA","lowerBband1SD10PeriodsSMA","X5PeriodSMA","upperBband2SD5PeriodsSMA","lowerBband2SD5PeriodsSMA","upperBband1SD5PeriodsSMA","lowerBband1SD5PeriodsSMA","SD20Days","SD10Days","SD5Days"
151.15,151.61,150.6,151.54,709,151.165,0,85,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151.7,152.19,151.7,151.89,133,151.988,0,80,2,0,0,1.00544438196673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152.01,152.1,151.74,152.06,86,151.957,0,78,3,0,0,1.00523930804088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151.91,152.03,151.63,151.74,96,151.798,0,80,4,0,0,1.00418747725995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151.75,151.97,151.69,151.84,280,151.9,0,145,5,0,0,1.00486223662885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.7616,152.444131464476,151.079068535524,152.102865732238,151.420334267762,NA,NA,0.341265732238093
151.8,151.83,151.65,151.77,55,151.738,0,47,6,0,0,1.00379055998412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.8762,152.08788089191,151.66451910809,151.982040445955,151.770359554045,NA,NA,0.10584044595522
151.75,152.34,151.75,152.32,163,152.089,0,128,7,0,0,1.0061125260477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.8964,152.171269423545,151.621530576455,152.033834711773,151.758965288227,NA,NA,0.137434711772534
152.33,152.39,152.21,152.28,71,152.262,0,54,8,0,0,1.00725697085966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.9574,152.389764660906,151.525035339094,152.173582330453,151.741217669547,NA,NA,0.216182330452791
152.32,152.32,152.07,152.07,66,152.229,0,49,9,0,0,1.00703866635795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.0436,152.488735035691,151.598464964309,152.266167517846,151.821032482154,NA,NA,0.222567517845711
152.07,152.19,151.85,152.05,60,152.004,0,52,10,0,0,1.00555022657361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151.913,152.535538887674,151.290461112326,152.224269443837,151.601730556163,152.0644,152.485029528207,151.643770471793,152.274714764104,151.854085235896,NA,0.311269443837118,0.210314764103715
