"XEL.Open","XEL.High","XEL.Low","XEL.Close","XEL.Volume","XEL.WAP","XEL.hasGaps","XEL.Count","index","Orders","Position","holdingGrossReturn","X50PeriodSMA","upperBband2SD50PeriodsSMA","lowerBband2SD50PeriodsSMA","upperBband1SD50PeriodsSMA","lowerBband1SD50PeriodsSMA","X20PeriodSMA","upperBband2SD20PeriodsSMA","lowerBband2SD20PeriodsSMA","upperBband1SD20PeriodsSMA","lowerBband1SD20PeriodsSMA","X10PeriodSMA","upperBband2SD10PeriodsSMA","lowerBband2SD10PeriodsSMA","upperBband1SD10PeriodsSMA","lowerBband1SD10PeriodsSMA","X5PeriodSMA","upperBband2SD5PeriodsSMA","lowerBband2SD5PeriodsSMA","upperBband1SD5PeriodsSMA","lowerBband1SD5PeriodsSMA","SD20Days","SD10Days","SD5Days"
63.28,63.68,63.28,63.68,267,63.465,0,80,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63.68,63.77,63.61,63.64,140,63.682,0,98,2,0,0,1.00341920743717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63.61,63.74,63.48,63.74,270,63.583,0,178,3,0,0,1.00185929252344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63.71,63.89,63.6,63.8,245,63.777,0,190,4,0,0,1.0049160954857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63.79,64.23,63.78,64.19,840,64.058,0,467,5,0,0,1.00934373276609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.713,64.1629844441756,63.2630155558244,63.9379922220878,63.4880077779122,NA,NA,0.224992222087789
64.19,64.29,63.89,63.96,686,64.138,0,380,6,0,0,1.01060427007012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.8476,64.3282466477569,63.366953352243,64.0879233238785,63.6072766761215,NA,NA,0.240323323878481
63.99,64.03,63.9,63.92,277,63.966,0,216,7,0,0,1.00789411486646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.9044,64.3532710282475,63.4555289717524,64.1288355141238,63.6799644858762,NA,NA,0.224435514123771
63.95,64.1,63.9,64.09,124,64,0,117,8,0,0,1.00842984322067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.9878,64.2571488444378,63.7184511555621,64.1224744222189,63.8531255777811,NA,NA,0.134674422218922
64.13,64.17,64.04,64.05,133,64.113,0,124,9,0,0,1.01021035216261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.055,64.2006296673072,63.9093703326928,64.1278148336536,63.9821851663464,NA,NA,0.0728148336535913
64.05,64.11,63.97,64.11,98,64.039,0,96,10,0,0,1.00904435515639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.8821,64.3581097571362,63.4060902428638,64.1201048785681,63.6440951214319,64.0512,64.1974285881762,63.9049714118238,64.1243142940881,63.9780857059119,NA,0.238004878568114,0.073114294088093
64.12,64.15,63.95,64.04,214,64.029,0,191,11,0,0,1.00888678799338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.9385,64.3189176067896,63.5580823932103,64.1287088033948,63.7482911966052,64.0294,64.1387855566334,63.9200144433666,64.0840927783167,63.9747072216833,NA,0.19020880339482,0.0546927783167024
64.06,64.32,64.06,64.3,267,64.201,0,223,12,0,0,1.01159694319704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.9904,64.3566375671003,63.6241624328997,64.1735187835501,63.8072812164498,64.0764,64.2387182060029,63.9140817939971,64.1575591030014,63.9952408969985,NA,0.183118783550156,0.081159103001448
64.3,64.36,64.19,64.3,119,64.293,0,95,13,0,0,1.01304656109667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.0614,64.3418555025113,63.7809444974886,64.2016277512557,63.9211722487443,64.135,64.3591785003072,63.9108214996928,64.2470892501536,64.0229107498464,NA,0.140227751255671,0.112089250153618
64.28,64.3,64.21,64.23,135,64.264,0,121,14,0,0,1.01258961632396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.1101,64.3346201302531,63.8855798697468,64.2223600651266,63.9978399348734,64.1652,64.4139022315943,63.9164977684057,64.2895511157972,64.0408488842028,NA,0.112260065126572,0.124351115797166
64.24,64.33,64.17,64.3,105,64.232,0,97,15,0,0,1.01208540140235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.1275,64.3608699971195,63.8941300028805,64.2441849985597,64.0108150014402,64.2038,64.4110167946861,63.9965832053139,64.3074083973431,64.1001916026569,NA,0.11668499855975,0.103608397343075
64.31,64.35,64.23,64.3,176,64.301,0,114,16,0,0,1.01317261482707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.1438,64.4018900790206,63.8857099209793,64.2728450395103,64.0147549604897,64.2582,64.3420737145952,64.1743262854048,64.3001368572976,64.2162631427024,NA,0.129045039510329,0.0419368572976128
