"","ticker","AveragePosition","SDPosition","MaxPosition","MinPosition","AvgChangeInPosition","SDChangeInPosition","MinChangeInPosition","MaxChangeInPosition"
"1","A",-2.66691666666667,2.93255576957484,0.469999999999999,-6.98750000000001,0.210300000000001,3.53227854224437,-4.8015,4.4795
"2","AA",4.0841875,12.5646032395362,35.1365,-1.054,5.07842857142857,13.1756293190261,-1.7145,34.858
"3","AAC",0.000333333333335517,0.0096479704256049,0.00800000000000267,-0.0104999999999986,0.00925000000000065,0.00671751442127288,0.00450000000000017,0.0140000000000011
"4","AAN",1.14533333333333,0.685597889922851,2.1035,0.237,0.3733,0.413040040431917,-0.1495,0.9285
"5","AAP",-33.5475,27.414640628686,3.9175,-52.831,-9.6855,26.0886171801995,-56.2545,4.32549999999999
"6","AAT",0.972,0.457286197765324,1.587,0.506999999999998,0.164666666666668,0.697955108394038,-0.585999999999999,0.794
"7","AB",0.446714285714287,1.01238908269593,2.1415,-1.0815,0.35025,1.32464873645809,-2.0455,1.3215
"8","ABBV",-10.1891,1.94944868488503,-8.15150000000003,-13.001,1.10299999999999,1.21645064292254,-0.4375,2.10299999999998
"9","ABC",3.09799999999999,0.207855719190021,3.31999999999999,2.90799999999999,-0.0790000000000077,0.470933116270238,-0.412000000000006,0.253999999999991
"10","ABEV",0.532290625,1.10192985299635,3.24801,-0.00444500000000003,0.464636428571429,1.12563510071986,-0.0543849999999999,3.014605
"11","ABG",25.5364444444444,16.5623468831497,44.3195,-0.956500000000005,5.6595,2.62956774014285,1.51300000000001,8.29300000000001
"12","ABM",-0.143124999999992,0.825292410300737,0.869500000000009,-1.14099999999999,-0.0699999999999979,1.68058702541701,-2.0105,0.915000000000006
"13","ABR",1.50685714285714,0.579986401728933,2.2315,0.629000000000001,0.267083333333333,0.105812294496749,0.138,0.388999999999999
"14","ABT",-4.19239999999999,1.82149603348456,-2.59099999999999,-7.18249999999999,1.147875,1.1479486323438,-0.150999999999996,2.592
"15","ACCO",0.638642857142857,0.358183113584578,1.0025,-0.0730000000000004,0.17925,0.255253158648429,-0.0724999999999998,0.6555
"16","ACI",-0.126799999999999,0.280433280835211,0.147500000000001,-0.5015,0.16225,0.1021408341458,0.0135000000000005,0.245999999999999
"17","ACM",-1.11700000000001,1.60398866111953,1.7415,-1.974,-0.898250000000004,1.84916379750416,-3.63950000000001,0.295000000000002
"18","ACN",7.84289999999997,5.13222968601364,15.7289999999999,2.54000000000002,3.29724999999998,2.2383047342427,0.540500000000009,5.83999999999997
"19","ACP",0.0348000000000001,0.0603661743031641,0.119,-0.0419999999999998,0.0402499999999999,0.0281321287261854,0.00199999999999978,0.0694999999999997
"20","ACRE",0.907562500000001,0.222918697142511,1.177,0.476500000000001,0.100071428571429,0.117692193373021,-0.0545000000000009,0.308000000000001
"21","ACT",2.20416666666666,0.375521748149603,2.582,1.831,-0.18425,0.801505536474953,-0.751000000000001,0.3825
"22","ADC",-0.188285714285712,0.615040368400241,0.64200000000001,-0.924999999999997,0.0983333333333315,0.857860400453752,-1.56700000000001,0.817499999999995
"23","ADM",-2.29219999999999,0.606406691091059,-1.45949999999999,-3.13800000000001,0.250250000000005,0.786055606599603,-0.785499999999999,1.02200000000001
"24","ADPT",0.5646,0.443656454928811,1.2465,0.1295,0.048,0.656734979526242,-0.925,0.4915
"25","ADT",-0.346416666666666,0.190648214433461,-0.134999999999999,-0.6135,0.0957000000000003,0.0808784581949979,-0.0354999999999999,0.171
"26","ADX",0.640624999999999,0.31146625686688,0.965499999999995,0.219000000000001,0.248833333333331,0.176772688312797,0.0779999999999994,0.430999999999999
"27","AEE",-4.2825,3.97764215647914,0.1845,-7.75450000000001,-1.919875,3.36038046891023,-6.92400000000001,0.259500000000003
"28","AEG",1.1580725,2.20501320603472,5.65087,0.0688050000000002,1.116413,2.29852567446396,0.0609500000000001,5.22761
"29","AEL",1.4319,0.41123889042745,1.8465,0.792999999999999,0.263375,0.249784365336716,0.0275000000000034,0.585000000000001
"30","AEM",-5.88066666666666,2.05936788440855,-4.15649999999999,-8.16099999999999,0.584000000000003,4.83731749009717,-2.83649999999999,4.0045
"31","AEO",-0.617833333333333,0.685326759047585,0.3375,-1.2495,-0.1779,0.790229191437522,-1.587,0.2575
"32","AEP",-6.7884,3.01288780491409,-1.51049999999999,-9.021,-1.447875,4.0603930305452,-7.51050000000001,0.948000000000008
"33","AER",3.28325,1.22209904808626,4.5945,1.9405,0.884666666666668,0.433581115056148,0.603500000000004,1.384
"34","AES",-1.2428,0.449890625596933,-0.735499999999998,-1.656,-0.174375,0.475118998252016,-0.873999999999999,0.174499999999998
"35","AFB",-0.0301249999999991,0.0943366091892921,0.0860000000000003,-0.142499999999998,0.0336666666666664,0.141108409860409,-0.1275,0.135
"36","AFG",1.26177777777778,1.78451931747585,3.62400000000001,-1.343,0.620875000000002,0.964428578041352,-0.5655,2.04350000000001
"37","AFGE",-0.439136363636367,0.214585657827949,-0.113500000000005,-0.8445,0.0730999999999995,0.0622440537097503,-0.0120000000000005,0.182500000000001
